Hypothesis,Model,ARI_Score,CI_Lower,CI_Upper,N_Bootstraps,P_Value,P_Value_Perm
physical_vs_conceptual,Word2Vec CBOW,0.1325854156,0,0.4614787493,2000,0.2600648613,0.2576
tokonoma_as_conceptual,Word2Vec CBOW,0.09957122439,0,0.427480916,2000,0.3612067119,0.293
physical_vs_conceptual,Word2Vec Skip-gram,-0.1093942054,-0.1223796929,0.04052098408,2000,0.008477548523,0.2946
tokonoma_as_conceptual,Word2Vec Skip-gram,-0.09158948771,-0.1223796929,0.08950874271,2000,0.09018300248,0.2914
physical_vs_conceptual,BERT Cased (Final),0.8520998174,0.5544554455,1,2000,6.531313202e-14,0
tokonoma_as_conceptual,BERT Cased (Final),0.7189189189,0.3799743261,1,2000,5.487409396e-06,0.0002
physical_vs_conceptual,Word2Vec CBOWKMeans+L2,-0.03218428361,-0.099867286,0.202919708,2000,0.6769194745,0.6486
tokonoma_as_conceptual,Word2Vec CBOWKMeans+L2,-0.04140719246,-0.09542964145,0.1356269387,2000,0.4823702431,0.3384
physical_vs_conceptual,Word2Vec Skip-gramKMeans+L2,-0.08127962085,-0.1223796929,0.1342334156,2000,0.2143765889,0.3324
tokonoma_as_conceptual,Word2Vec Skip-gramKMeans+L2,-0.0659080291,-0.1208360549,0.09990889766,2000,0.241840798,0.332
physical_vs_conceptual,BERT Cased (Final)KMeans+L2,0.8520998174,0.5544554455,1,2000,6.531313202e-14,0
tokonoma_as_conceptual,BERT Cased (Final)KMeans+L2,0.7189189189,0.3799743261,1,2000,5.487409396e-06,0.0002
physical_vs_conceptual,Word2Vec CBOW[Agglo +L2],-0.09978308026,-0.1223796929,0.07745473425,2000,0.05030412287,0.2956
tokonoma_as_conceptual,Word2Vec CBOW[Agglo +L2],-0.06589735803,-0.1208360549,0.1084258654,2000,0.2598541455,0.6332
physical_vs_conceptual,Word2Vec Skip-gram[Agglo +L2],-0.08127962085,-0.1223796929,0.138372093,2000,0.2217403594,0.3208
tokonoma_as_conceptual,Word2Vec Skip-gram[Agglo +L2],-0.0659080291,-0.1208360549,0.1173300762,2000,0.2780160952,0.3242
physical_vs_conceptual,BERT Cased (Final)[Agglo +L2],0.3944839114,0.09376664891,0.8382370641,2000,0.037787691,0.001
tokonoma_as_conceptual,BERT Cased (Final)[Agglo +L2],0.3036925396,0.04056644868,0.7245901639,2000,0.08178883605,0.0046
