Hypothesis,Model,ARI_Score,CI_Lower,CI_Upper,N_Bootstraps,P_Value,P_Value_Perm
physical_vs_conceptual,Word2Vec CBOW,0.1325854156,0,0.4614787493,2000,0.2600648613,0.2576
tokonoma_as_conceptual,Word2Vec CBOW,0.09957122439,0,0.427480916,2000,0.3612067119,0.293
physical_vs_conceptual,Word2Vec Skip-gram,-0.1093942054,-0.1223796929,0.04052098408,2000,0.008477548523,0.2946
tokonoma_as_conceptual,Word2Vec Skip-gram,-0.09158948771,-0.1223796929,0.08950874271,2000,0.09018300248,0.2914
physical_vs_conceptual,BERT Cased (Final),0.718233945,0.373540856,1,2000,6.980873289e-06,0
tokonoma_as_conceptual,BERT Cased (Final),0.5972896957,0.2233962264,1,2000,0.002570717548,0.0004
physical_vs_conceptual,Word2Vec CBOWKMeans+L2,-0.08127962085,-0.1208360549,0.1384842193,2000,0.2191997929,0.3326
tokonoma_as_conceptual,Word2Vec CBOWKMeans+L2,-0.05419475405,-0.1208360549,0.2050087362,2000,0.5144157593,0.3906
physical_vs_conceptual,Word2Vec Skip-gramKMeans+L2,0.4760854046,0.1443418014,0.8518410286,2000,0.008344114597,0.0004
tokonoma_as_conceptual,Word2Vec Skip-gramKMeans+L2,0.3734583928,0.07745024308,0.8430091137,2000,0.05584129731,0.0016
physical_vs_conceptual,BERT Cased (Final)KMeans+L2,0.718233945,0.373540856,1,2000,6.980873289e-06,0
tokonoma_as_conceptual,BERT Cased (Final)KMeans+L2,0.5972896957,0.2233962264,1,2000,0.002570717548,0.0004
physical_vs_conceptual,Word2Vec CBOW[Agglo +L2],-0.01869991095,-0.1105282877,0.2855942881,2000,0.8531875052,0.7078
tokonoma_as_conceptual,Word2Vec CBOW[Agglo +L2],0.02125775022,-0.1093942054,0.3737226277,2000,0.8630562954,0.6768
physical_vs_conceptual,Word2Vec Skip-gram[Agglo +L2],0.4760854046,0.1443418014,0.8518410286,2000,0.008344114597,0.0004
tokonoma_as_conceptual,Word2Vec Skip-gram[Agglo +L2],0.3734583928,0.07745024308,0.8430091137,2000,0.05584129731,0.0016
physical_vs_conceptual,BERT Cased (Final)[Agglo +L2],0.718233945,0.3700547778,1,2000,7.843938571e-06,0.0002
tokonoma_as_conceptual,BERT Cased (Final)[Agglo +L2],0.5972896957,0.2218300983,1,2000,0.002622617375,0.0004
